dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005280,sub-001,0,Cz,1000.0,-5.353584289550781,0.172,7.688405990600586,0.352,13.041990280151367,0.024441457895281477,30.0-100.0,16.87135295539871,-127.54370000481683,6.499489986406976,2.589387184507177,1.3810376679063765,1.1513834172130029,0.02054702011778086,0.509595734335712,0.32288908152537926,0.4128031126306668,0.4881995909970431,0.33211665752134295,0.1587084333337087,1.022464892905487,1.851155408966849,0.046757884,2.5280046,0,3.5
ds005280,sub-001,1,Cz,1000.0,-15.312602043151855,0.199,14.667521476745605,0.312,29.98012351989746,0.024315193095558286,30.0-100.0,-46.15810238567475,29.42727648229613,17.861470001254574,11.489422551535078,0.860182082613353,1.6902319572196158,0.015709840905183754,0.6357436766585988,0.4484177447132587,0.7059815649594238,0.4787988744065937,0.2840971139234822,0.10289151258574189,1.0144902135895033,1.8765040246746123,0.03723772,2.7597342,5,4.0
ds005280,sub-001,2,Cz,1000.0,-18.446823120117188,0.21,20.738813400268555,0.308,39.18563652038574,0.0192811936100962,30.0-100.0,-1073.150499026655,-1072.7320978162134,31.848010953337976,24.381233240735114,2.8905986284177647,0.6894654042390356,0.027297409080073186,0.7911461105493112,0.2702114647641812,0.4139214597386471,0.4658510419774222,0.2595989243728057,0.06438227348764014,1.0142291850456724,1.981306374122035,0.031111563,2.6873212,5,4.0
ds005280,sub-001,3,Cz,1000.0,0.22575759887695312,0.179,24.620990753173828,0.302,24.395233154296875,0.01305396561214587,30.0-100.0,57.81500346132595,-318.19229193441464,17.46902349389486,10.61245061448888,0.3115155637991944,1.1974124984193453,0.011919196602674341,0.6984384511315583,0.43155800788652304,0.3614189797629671,0.4845951441767481,0.22366710149459862,0.06648227735684732,1.0136153061695192,1.9424112878342021,0.028374868,3.3636494,3,3.5
ds005280,sub-001,4,Cz,1000.0,-6.810598373413086,0.246,3.9522085189819336,0.448,10.76280689239502,0.007960148024732657,30.0-100.0,69.52536428994812,-50.0611444755071,3.476962265243276,2.041816843733538,0.13085348856171275,0.4799911823665328,0.010291165140272198,0.607776002230239,0.14931629581438663,0.3788382634396801,0.48199593891881953,0.3116158064623672,0.15908150898915077,1.0155803021473246,1.8753627938437527,0.051137123,2.0180004,4,3.5
ds005280,sub-001,5,Cz,1000.0,-19.09123420715332,0.236,11.85256290435791,0.375,30.94379711151123,0.026889264810983058,30.0-100.0,-4371.902801100491,24.034477031643917,14.975562608996189,11.218102870056288,1.7357033643288564,0.7489863943337535,0.07507646584392813,0.9088543658081767,0.3007205126771419,0.2721958188188809,0.4883050652893455,0.2574832027817005,0.08527561937344634,1.0231189489891424,1.8965318390015837,0.03281664,3.620927,5,3.5
ds005280,sub-001,6,Cz,1000.0,-6.112715244293213,0.201,18.951990127563477,0.354,25.06470537185669,0.002489386854294575,30.0-100.0,-209.20732071941,-1205.2679066158346,18.091710373246578,1.2620543600054879,1.607058778587112,1.4072537275401253,0.007924990330683734,0.6372492007289758,0.42889166055241074,0.46911680366758296,0.4838527086167314,0.3235314268606895,0.08330163772864417,1.0166177639454719,1.8328847131789177,0.03653872,2.8078637,5,3.5
ds005280,sub-001,7,Cz,1000.0,-8.019325256347656,0.198,19.5274715423584,0.304,27.546796798706055,0.01382068879651606,30.0-100.0,-187.81801392161174,-1520.0261871869377,22.113562953326596,9.351541543509667,1.0689993975032839,1.214040748746063,0.023287098169100857,0.6517194883834765,0.6069375581987784,0.4929707349276762,0.47467575983596194,0.2647493092505928,0.08180423290487912,1.0160185589420583,1.9160784671133317,0.030584402,3.1907806,6,4.0
ds005280,sub-001,8,Cz,1000.0,-10.478184700012207,0.233,7.154401779174805,0.513,17.63258647918701,0.03498562127535721,30.0-100.0,-1105.3081892465184,-163.88787921646835,7.119030587284202,3.774041274808488,0.5087752420285695,0.7884110774758059,0.0766988012586618,0.6432311113754143,0.3278084937190706,0.3539543745881737,0.5028546736472237,0.30144649539602414,0.11840633737261334,1.0280749884734737,1.8384544863342704,0.042270064,2.8988135,4,3.5
ds005280,sub-001,9,Cz,1000.0,-7.442560195922852,0.206,8.684951782226562,0.314,16.127511978149414,0.0028473040908143493,30.0-100.0,-1841.1185957169419,-66.90640896952665,5.463111943066053,5.638484023387371,1.5816650829886754,1.4694658491541353,0.015447697348234112,0.8846201563462772,0.5602625398854362,0.3935512946676153,0.48783912842613886,0.29213799546593855,0.1443234960157752,1.0169909021703423,1.871986649995487,0.048541423,2.2133715,5,4.0
