onset,duration,sample,value,subject,dataset,source_file
7.8388671875,,8027,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.8447265625,,8033,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.8505859375,,8039,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.853515625,,8042,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.861328125,,8050,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.8642578125,,8053,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.875,,8064,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.8779296875,,8067,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.8828125,,8072,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.892578125,,8082,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.8955078125,,8085,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
7.9052734375,,8095,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
8.0322265625,,8225,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
8.0341796875,,8227,condition 64,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
121.9150390625,,124841,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
134.0654296875,,137283,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
146.9482421875,,150475,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
159.9814453125,,163821,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
172.865234375,,177014,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
185.59765625,,190052,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
198.2646484375,,203023,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
211.3974609375,,216471,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
224.4814453125,,229869,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
236.9306640625,,242617,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
249.1640625,,255144,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
261.380859375,,267654,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
274.1474609375,,280727,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
287.0302734375,,293919,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
299.380859375,,306566,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
312.48046875,,319980,condition 54,sub-001,ds005284,ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_events.tsv
124.513671875,,127502,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
137.0634765625,,140353,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
149.2138671875,,152795,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
161.8466796875,,165731,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
174.646484375,,178838,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
187.7802734375,,192287,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
199.962890625,,204762,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
212.36328125,,217460,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
224.646484375,,230038,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
237.1796875,,242872,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
250.279296875,,256286,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
262.662109375,,268966,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
275.5791015625,,282193,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
287.7294921875,,294635,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
300.8125,,308032,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
313.7119140625,,321241,condition 54,sub-002,ds005284,ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_events.tsv
122.8681640625,,125817,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
135.4013671875,,138651,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
147.55078125,,151092,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
160.6171875,,164472,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
173.3505859375,,177511,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
185.767578125,,190226,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
198.2841796875,,203043,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
210.7841796875,,215843,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
223.716796875,,229086,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
236.583984375,,242262,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
249.06640625,,255044,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
262.1669921875,,268459,condition 54,sub-003,ds005284,ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_events.tsv
