subject,dataset,type,laser_power,rating,latency,epoch,urevent,code,duration
sub-001,ds005284,condition 54,3.5,2.0,1001,1,15,,
sub-001,ds005284,condition 54,3.5,3.0,4001,2,16,,
sub-001,ds005284,condition 54,3.5,1.0,7001,3,17,,
sub-001,ds005284,condition 54,3.5,4.0,10001,4,18,,
sub-001,ds005284,condition 54,3.5,2.0,13001,5,20,,
sub-001,ds005284,condition 54,3.5,1.0,16001,6,21,,
sub-001,ds005284,condition 54,3.5,5.0,19001,7,22,,
sub-001,ds005284,condition 54,3.5,6.0,22001,8,23,,
sub-001,ds005284,condition 54,3.5,3.0,25001,9,24,,
sub-001,ds005284,condition 54,3.5,6.0,28001,10,26,,
sub-001,ds005284,condition 54,3.5,4.0,31001,11,27,,
sub-001,ds005284,condition 54,3.5,4.0,34001,12,28,,
sub-001,ds005284,condition 54,3.5,7.0,37001,13,30,,
sub-002,ds005284,condition 54,3.5,3.0,1001,1,1,,
sub-002,ds005284,condition 54,3.5,3.0,4001,2,2,,
sub-002,ds005284,condition 54,3.5,5.0,7001,3,3,,
sub-002,ds005284,condition 54,3.5,4.0,10001,4,4,,
sub-002,ds005284,condition 54,3.5,3.0,13001,5,5,,
sub-002,ds005284,condition 54,3.5,5.0,16001,6,6,,
sub-002,ds005284,condition 54,3.5,4.0,19001,7,7,,
sub-002,ds005284,condition 54,3.5,6.0,22001,8,8,,
sub-002,ds005284,condition 54,3.5,5.0,25001,9,9,,
sub-002,ds005284,condition 54,3.5,6.0,28001,10,10,,
sub-002,ds005284,condition 54,3.5,7.0,31001,11,11,,
sub-002,ds005284,condition 54,3.5,6.0,34001,12,12,,
sub-002,ds005284,condition 54,3.5,6.0,37001,13,13,,
sub-002,ds005284,condition 54,3.5,2.0,40001,14,14,,
sub-002,ds005284,condition 54,3.5,7.0,43001,15,15,,
sub-002,ds005284,condition 54,3.5,4.0,46001,16,16,,
sub-003,ds005284,condition 54,3.75,2.0,1001,1,1,,
sub-003,ds005284,condition 54,3.75,4.0,4001,2,2,,
sub-003,ds005284,condition 54,3.75,5.0,7001,3,3,,
sub-003,ds005284,condition 54,3.75,6.0,10001,4,4,,
sub-003,ds005284,condition 54,3.75,6.0,13001,5,5,,
sub-003,ds005284,condition 54,3.75,7.0,16001,6,6,,
sub-003,ds005284,condition 54,3.75,8.0,19001,7,7,,
sub-003,ds005284,condition 54,3.75,6.0,22001,8,8,,
sub-003,ds005284,condition 54,3.75,5.0,25001,9,9,,
sub-003,ds005284,condition 54,3.75,6.0,28001,10,10,,
sub-003,ds005284,condition 54,3.75,4.0,31001,11,11,,
sub-003,ds005284,condition 54,3.75,7.0,34001,12,12,,
sub-003,ds005284,condition 54,3.75,5.0,37001,13,13,,
sub-003,ds005284,condition 54,3.75,6.0,40001,14,14,,
sub-003,ds005284,condition 54,3.75,5.0,43001,15,15,,
sub-003,ds005284,condition 54,3.75,6.0,46001,16,16,,
sub-004,ds005284,condition 54,3.25,5.0,1001,1,1,,
sub-004,ds005284,condition 54,3.25,8.0,4001,2,2,,
sub-004,ds005284,condition 54,3.25,5.0,7001,3,3,,
sub-004,ds005284,condition 54,3.25,7.0,10001,4,4,,
sub-004,ds005284,condition 54,3.25,5.0,13001,5,5,,
sub-004,ds005284,condition 54,3.25,3.0,16001,6,6,,
sub-004,ds005284,condition 54,3.25,6.0,19001,7,7,,
sub-004,ds005284,condition 54,3.25,7.0,22001,8,8,,
sub-004,ds005284,condition 54,3.25,8.0,25001,9,9,,
sub-004,ds005284,condition 54,3.25,6.0,28001,10,10,,
sub-004,ds005284,condition 54,3.25,4.0,31001,11,15,,
sub-004,ds005284,condition 54,3.25,3.0,34001,12,16,,
sub-005,ds005284,condition 54,3.0,7.0,1001,1,1,,
sub-005,ds005284,condition 54,3.0,9.0,4001,2,2,,
sub-005,ds005284,condition 54,3.0,10.0,7001,3,3,,
sub-005,ds005284,condition 54,3.0,10.0,10001,4,4,,
sub-005,ds005284,condition 54,3.0,8.0,13001,5,5,,
sub-005,ds005284,condition 54,3.0,9.0,16001,6,6,,
sub-005,ds005284,condition 54,3.0,7.0,19001,7,7,,
sub-005,ds005284,condition 54,3.0,7.0,22001,8,8,,
sub-005,ds005284,condition 54,3.0,6.0,25001,9,9,,
sub-005,ds005284,condition 54,3.0,7.0,28001,10,10,,
sub-005,ds005284,condition 54,3.0,9.0,31001,11,11,,
sub-005,ds005284,condition 54,3.0,6.0,34001,12,12,,
sub-005,ds005284,condition 54,3.0,4.0,37001,13,13,,
sub-005,ds005284,condition 54,3.0,5.0,40001,14,14,,
sub-005,ds005284,condition 54,3.0,10.0,43001,15,15,,
sub-005,ds005284,condition 54,3.0,10.0,46001,16,16,,
sub-006,ds005284,condition 54,4.25,5.0,1001,1,1,,
sub-006,ds005284,condition 54,4.25,4.0,4001,2,10,,
sub-006,ds005284,condition 54,4.25,5.0,7001,3,15,,
sub-006,ds005284,condition 54,4.25,5.0,10001,4,16,,
sub-007,ds005284,condition 54,3.75,3.0,1001,1,1,,
sub-007,ds005284,condition 54,3.75,6.0,4001,2,2,,
sub-007,ds005284,condition 54,3.75,10.0,7001,3,6,,
sub-007,ds005284,condition 54,3.75,9.0,10001,4,9,,
sub-007,ds005284,condition 54,3.75,4.0,13001,5,10,,
sub-007,ds005284,condition 54,3.75,5.0,16001,6,11,,
sub-007,ds005284,condition 54,3.75,8.0,19001,7,12,,
sub-007,ds005284,condition 54,3.75,4.0,22001,8,13,,
sub-007,ds005284,condition 54,3.75,8.0,25001,9,14,,
sub-007,ds005284,condition 54,3.75,7.0,28001,10,15,,
sub-007,ds005284,condition 54,3.75,8.0,31001,11,16,,
