feature,importance
psd_delta,0.45404654522402527
n2p2_amp,0.08600772555865238
psd_theta,0.08229788409792275
n2_lat,0.04811030789386925
plv_FCz-CPz,0.04618454566658419
plv_Cz-Pz,0.0246335345020981
p2_lat,0.01959644874066165
plv_Fz-Cz,0.019118880333776844
psd_beta,0.01689865075481275
hjorth_complexity,0.016560152655309354
psd_alpha,0.016218878833596143
n2_amp,0.015369312729333683
p2_amp,0.015276508384578863
alpha_erd_pct,0.015163753625927671
plv_C3-C4,0.015141607720087399
beta_erd_pct,0.01372715135670309
dfa,0.013352135200568825
perm_entropy,0.012794835029700377
psd_gamma,0.0119415396320163
spectral_entropy,0.011920363886023458
sample_entropy,0.011738710110641802
gamma_power,0.0116919156487071
hjorth_mobility,0.011588284901441077
higuchi_fd,0.01062032751296148
