dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,plv_FCz-CPz,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005284,sub-001,0,CZ,1000.0,-22.231401443481445,0.221,10.99229621887207,0.427,33.223697662353516,0.04428633897619619,30.0-100.0,-416.39157081998206,-175.03650072418978,59.64561360789986,7.0260621599034385,1.1660559195921765,5.172899015636475,0.13089657922959377,0.39862972081919523,0.3169024625652486,0.25958049416979684,0.24635001480326948,0.5121434954044974,0.27569433634447027,0.12109534411024639,1.035878757377749,1.7831941748808693,0.03867463,3.6232595,2.0,3.5
ds005284,sub-001,1,CZ,1000.0,-3.065441131591797,0.194,25.04020881652832,0.388,28.105649948120117,0.038020021740649494,30.0-100.0,-28123.753791776908,-147.7370931414424,10.756790042585061,8.339727096896324,6.98631690953601,3.302206708062502,0.07010945105353442,0.8075119478836525,0.5902238884239511,0.5737525089566908,0.7030460934086128,0.49550397274646085,0.32371288755774835,0.1180689555227911,1.0226930203883111,1.82626730250342,0.04392365,2.4481134,3.0,3.5
ds005284,sub-001,2,CZ,1000.0,-8.20946979522705,0.231,18.109031677246094,0.461,26.318501472473145,0.007567566498305202,30.0-100.0,-1924.5126142680053,-986.3300521468988,2.5257664700591733,1.3082871228026494,6.722902616570709,3.022979543886491,0.016636336730169194,0.9111601831290749,0.5950701767581564,0.17835859696528966,0.5931381171592206,0.4764542703975597,0.334523043060083,0.1872302460879973,1.0111169245792584,1.8424544373067617,0.05761435,1.6239028,1.0,3.5
ds005284,sub-001,3,CZ,1000.0,-16.382238388061523,0.185,13.250682830810547,0.371,29.63292121887207,0.013707907475054706,30.0-100.0,-1207.177197015446,-309.1329519511341,34.78831271087951,11.11488548685258,2.292912259085991,2.835886956055077,0.061424988806144554,0.5903649339107871,0.1050363034498774,0.2937831288883085,0.7076173042744763,0.4898128120643019,0.25927461473304486,0.0997567526827054,1.0247782161518975,1.8800708745070116,0.037086792,3.0778568,4.0,3.5
ds005284,sub-001,4,CZ,1000.0,-26.62097930908203,0.252,7.102807998657227,0.389,33.72378730773926,0.01064810634883022,30.0-100.0,-260.154295768343,-6.143436971665064,10.2747023833314,17.57924644055298,15.21762176835444,2.7349465232048926,0.0302110095076461,0.47391514066267054,0.37011797140532504,0.3066742249282571,0.48040569419723933,0.4839394465544655,0.29785579100174847,0.140260338828338,1.0126557054490157,1.9004341264975124,0.04974021,1.864374,2.0,3.5
ds005284,sub-001,5,CZ,1000.0,-19.35261344909668,0.309,9.740469932556152,0.366,29.093083381652832,0.04602724183147138,30.0-100.0,-768.1818663265933,-554.7003423401551,4.63976023861359,11.392628577652568,11.096029779093374,3.9411901923250006,0.100667546553863,0.7193955666419598,0.3638581536011991,0.45998394224425004,0.5071213021839885,0.4681984487680705,0.31958323506030156,0.16790850999323806,1.0131288815502966,1.916118692412146,0.060431186,1.5352545,1.0,3.5
ds005284,sub-001,6,CZ,1000.0,-19.289352416992188,0.209,18.781959533691406,0.366,38.071311950683594,0.09106830262715011,30.0-100.0,-531.488488582671,-284.7791307006122,20.173830673776642,11.844721274423545,13.831739817290142,6.05258728882978,0.14657171286758647,0.8282746049904036,0.5020619978277899,0.3238603363338207,0.4958965625260517,0.48718062759749786,0.32923517129884095,0.1289811576910752,1.0165653078478618,1.8997261282278968,0.05272715,2.0976946,5.0,3.5
ds005284,sub-001,7,CZ,1000.0,-18.122840881347656,0.221,9.491765022277832,0.346,27.61460590362549,0.0564742064609922,30.0-100.0,24.34936576243409,-169.65431028011255,16.729076482876557,21.8497709217135,1.695776091563979,3.0469699958122263,0.045568917693733106,0.454662813978188,0.28803438179544355,0.022091967762567496,0.6494641978250081,0.47595221616161004,0.2991277418473258,0.1376625483155336,1.0145390123460447,1.9004657391693593,0.045573294,2.3139465,6.0,3.5
ds005284,sub-001,8,CZ,1000.0,-14.221817016601562,0.188,15.345293998718262,0.308,29.567111015319824,0.05942331798348902,30.0-100.0,60.76265691515208,5.494067962457535,9.142006674035143,14.099422755437207,4.015793943246381,2.8007628208028352,0.12271274373993196,0.6958826348231567,0.5349550127510649,0.28233762306311255,0.6994617913781505,0.4954940276814092,0.34333983497003423,0.18395519285650969,1.0194741635545796,1.8489865067281495,0.055695992,1.9969225,3.0,3.5
ds005284,sub-001,9,CZ,1000.0,-18.48064613342285,0.204,17.822647094726562,0.424,36.303293228149414,0.009853345451004141,30.0-100.0,7.2389489005547025,-267.72114101582576,29.509534846400047,25.750220020391563,2.9048950108518605,1.5462528951424739,0.0876406283821662,0.6325628153837928,0.4490929268791477,0.1798721355963908,0.3118923817554002,0.48275432369237775,0.284871660119424,0.09518628181080604,1.0141414292407687,1.9284426631675158,0.034256753,2.8390844,6.0,3.5
ds005284,sub-001,10,CZ,1000.0,-17.578977584838867,0.228,-1.0458393096923828,0.472,16.533138275146484,0.03009694399966611,30.0-100.0,39.482418033120595,-84.18943708041323,19.51863524916434,4.979399081472551,0.8699680605156971,2.465376264511811,0.07876654992561136,0.2718510359212976,0.1539754169238413,0.06947461202837057,0.31012672476197584,0.48437496748529957,0.3388615389313975,0.1333210314750371,1.0270928726134507,1.8170839122584725,0.043406133,2.627475,4.0,3.5
