window_seconds,trained_on_dataset,assigned_state,task_condition,task_annotation,window_count,annotation_used_during_fit
2,ds005284,0,eyes_closed_rest,T0,36,False
2,ds005284,0,eyes_open_rest,T0,19,False
2,ds005284,0,motor_execution,T0,65,False
2,ds005284,0,motor_execution,T1,52,False
2,ds005284,0,motor_execution,T2,50,False
2,ds005284,0,motor_imagery,T0,71,False
2,ds005284,0,motor_imagery,T1,55,False
2,ds005284,0,motor_imagery,T2,55,False
2,ds005284,1,eyes_closed_rest,T0,10,False
2,ds005284,1,eyes_open_rest,T0,37,False
2,ds005284,1,motor_execution,T0,101,False
2,ds005284,1,motor_execution,T1,37,False
2,ds005284,1,motor_execution,T2,33,False
2,ds005284,1,motor_imagery,T0,120,False
2,ds005284,1,motor_imagery,T1,18,False
2,ds005284,1,motor_imagery,T2,16,False
4,ds005284,0,eyes_closed_rest,T0,1,False
4,ds005284,0,eyes_open_rest,T0,6,False
4,ds005284,0,motor_execution,T0,53,False
4,ds005284,0,motor_execution,T1,13,False
4,ds005284,0,motor_execution,T2,7,False
4,ds005284,0,motor_imagery,T0,45,False
4,ds005284,0,motor_imagery,T1,5,False
4,ds005284,0,motor_imagery,T2,6,False
4,ds005284,2,eyes_closed_rest,T0,3,False
4,ds005284,2,eyes_open_rest,T0,20,False
4,ds005284,2,motor_execution,T0,29,False
4,ds005284,2,motor_execution,T1,19,False
4,ds005284,2,motor_execution,T2,16,False
4,ds005284,2,motor_imagery,T0,42,False
4,ds005284,2,motor_imagery,T1,15,False
4,ds005284,2,motor_imagery,T2,13,False
4,ds005284,3,eyes_closed_rest,T0,5,False
4,ds005284,3,motor_execution,T0,6,False
4,ds005284,3,motor_execution,T1,4,False
4,ds005284,3,motor_execution,T2,7,False
4,ds005284,3,motor_imagery,T0,2,False
4,ds005284,3,motor_imagery,T1,2,False
4,ds005284,3,motor_imagery,T2,6,False
8,ds005284,0,eyes_closed_rest,T0,1,False
8,ds005284,0,eyes_open_rest,T0,14,False
8,ds005284,0,motor_execution,T0,64,False
8,ds005284,0,motor_imagery,T0,73,False
8,ds005284,1,motor_execution,T0,1,False
8,ds005284,1,motor_imagery,T0,1,False
8,ds005284,2,motor_execution,T0,17,False
8,ds005284,2,motor_imagery,T0,3,False
