dataset_id,subject,raw_file,window_seconds,window_index,start_seconds,task_condition,task_annotation,trained_on_dataset,assigned_state,posterior_confidence,log_likelihood,low_confidence_unknown
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,0,0.0,eyes_open_rest,T0,ds005284,1,0.999917697926677,-54.34538444117031,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,1,2.0,eyes_open_rest,T0,ds005284,0,0.9751145483492518,-46.88714827150539,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,2,4.0,eyes_open_rest,T0,ds005284,1,1.0,-32.065520777958085,False
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,3,6.0,eyes_open_rest,T0,ds005284,0,0.896622730598726,-55.085643122307665,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,4,8.0,eyes_open_rest,T0,ds005284,1,1.0,-46.83784711838478,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,5,10.0,eyes_open_rest,T0,ds005284,1,1.0,-52.07523894559093,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,6,12.0,eyes_open_rest,T0,ds005284,1,1.0,-46.42482027116527,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,7,14.0,eyes_open_rest,T0,ds005284,1,0.9999999999935554,-61.539816971860134,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,8,16.0,eyes_open_rest,T0,ds005284,1,1.0,-42.321750702559974,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,9,18.0,eyes_open_rest,T0,ds005284,0,0.9862682040129416,-50.960057504709056,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,10,20.0,eyes_open_rest,T0,ds005284,1,0.9999999297934206,-56.05862219221719,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,11,22.0,eyes_open_rest,T0,ds005284,1,0.9999868244224915,-49.06126476131109,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,12,24.0,eyes_open_rest,T0,ds005284,1,1.0,-62.558585887384744,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,13,26.0,eyes_open_rest,T0,ds005284,1,0.9999999971818241,-48.874456439235594,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,14,28.0,eyes_open_rest,T0,ds005284,1,0.9999907740532072,-44.64790151661921,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,15,30.0,eyes_open_rest,T0,ds005284,1,0.9999252918797755,-59.174729039279896,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,16,32.0,eyes_open_rest,T0,ds005284,1,0.9999999999992468,-42.18708895940746,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,17,34.0,eyes_open_rest,T0,ds005284,1,0.9999999999999787,-43.07336399186038,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,18,36.0,eyes_open_rest,T0,ds005284,1,1.0,-44.554435258536024,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,19,38.0,eyes_open_rest,T0,ds005284,1,1.0,-45.01523760850935,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,20,40.0,eyes_open_rest,T0,ds005284,1,1.0,-59.80658787844356,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,21,42.0,eyes_open_rest,T0,ds005284,1,1.0,-44.40010660479947,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,22,44.0,eyes_open_rest,T0,ds005284,1,0.9999999996503988,-47.72679996557427,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,23,46.0,eyes_open_rest,T0,ds005284,1,1.0,-50.00401516823609,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,24,48.0,eyes_open_rest,T0,ds005284,1,1.0,-35.28735456110819,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,25,50.0,eyes_open_rest,T0,ds005284,1,0.9163489629944942,-55.123529203426635,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,26,52.0,eyes_open_rest,T0,ds005284,1,0.5857679819235108,-56.65464745402651,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,27,54.0,eyes_open_rest,T0,ds005284,1,0.9999999999999858,-42.74205492836569,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,28,56.0,eyes_open_rest,T0,ds005284,1,1.0,-49.382429154023555,True
eegmmidb,S001,data/eegmmidb/S001/S001R01.edf,2,29,58.0,eyes_open_rest,T0,ds005284,1,0.9999980632924514,-50.892283186725955,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,0,0.0,eyes_closed_rest,T0,ds005284,1,1.0,-80.05027081149376,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,1,2.0,eyes_closed_rest,T0,ds005284,1,1.0,-57.32009529189009,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,2,4.0,eyes_closed_rest,T0,ds005284,1,0.9999999999991758,-63.581350517507,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,3,6.0,eyes_closed_rest,T0,ds005284,1,1.0,-75.55985177327989,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,4,8.0,eyes_closed_rest,T0,ds005284,1,1.0,-84.55492062628787,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,5,10.0,eyes_closed_rest,T0,ds005284,1,1.0,-108.1145146114217,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,6,12.0,eyes_closed_rest,T0,ds005284,1,1.0,-88.45292586214322,True
eegmmidb,S001,data/eegmmidb/S001/S001R02.edf,2,7,14.0,eyes_closed_rest,T0,ds005284,1,1.0,-94.27325076129898,True
