dataset_id,subject,raw_file,format,sha256,file_bytes,sampling_rate_hz,duration_seconds,raw_eeg_channel_count,annotation_count,device
ds005284,sub-001,data/ds005284/sub-001/eeg/sub-001_task-26ByBiosemi_eeg.bdf,BDF,a3dcbdc69c5cd2b47c19cd2fcbe27ddbca0baa3deca6881b37e8e02fed970cda,65511936,1024.0,328.0,64,0,BioSemi ActiveTwo
ds005284,sub-002,data/ds005284/sub-002/eeg/sub-002_task-26ByBiosemi_eeg.bdf,BDF,a8f700a4b3c50420d9c357e698653deb73419f6a39ec9ddc52fafdf2c03f4b25,65711616,1024.0,329.0,64,0,BioSemi ActiveTwo
ds005284,sub-003,data/ds005284/sub-003/eeg/sub-003_task-26ByBiosemi_eeg.bdf,BDF,4c2fb27bc6e73d3e0aca19bdba1f85b905bd8ec48335f10bdf6d07e83d5fd47f,65911296,1024.0,330.0,64,0,BioSemi ActiveTwo
ds005284,sub-004,data/ds005284/sub-004/eeg/sub-004_task-26ByBiosemi_eeg.bdf,BDF,e0e5984ece35f742585106c63642dbdf96c833ddaa9a574193855cafb3d7b50c,65112576,1024.0,326.0,64,0,BioSemi ActiveTwo
ds005284,sub-005,data/ds005284/sub-005/eeg/sub-005_task-26ByBiosemi_eeg.bdf,BDF,0d4ab10e6a1fef3723f9749ef3c42a17964cb56ff9717c371bda22b1fc53e3d8,69106176,1024.0,346.0,64,0,BioSemi ActiveTwo
ds005284,sub-006,data/ds005284/sub-006/eeg/sub-006_task-26ByBiosemi_eeg.bdf,BDF,4b862a2f4e11fd8edeff275d1289d9bbdedaac805932f1104bc00103dd58ae37,66110976,1024.0,331.0,64,0,BioSemi ActiveTwo
ds005284,sub-007,data/ds005284/sub-007/eeg/sub-007_task-26ByBiosemi_eeg.bdf,BDF,0964326523b12cdd291e104293bb34bf5c9c380ad46c21fcb3d1bf7a1848be06,65312256,1024.0,327.0,64,0,BioSemi ActiveTwo
ds005284,sub-008,data/ds005284/sub-008/eeg/sub-008_task-26ByBiosemi_eeg.bdf,BDF,a849d83f2a6279775c55d79b9abe891950319be1bb5f810aae581933d128417c,66110976,1024.0,331.0,64,0,BioSemi ActiveTwo
ds005284,sub-009,data/ds005284/sub-009/eeg/sub-009_task-26ByBiosemi_eeg.bdf,BDF,890c08c953f18afc644d58feece6136d72ae420577e6b0dbe691c773d4c83cc2,66310656,1024.0,332.0,64,0,BioSemi ActiveTwo
ds005284,sub-010,data/ds005284/sub-010/eeg/sub-010_task-26ByBiosemi_eeg.bdf,BDF,b0cc7d2dbe733a0bc1e576b66057d28eb5755113e54acb11c6852789303e0f1e,66110976,1024.0,331.0,64,0,BioSemi ActiveTwo
ds005284,sub-011,data/ds005284/sub-011/eeg/sub-011_task-26ByBiosemi_eeg.bdf,BDF,bd713d194e24190e03b495223cd12b5c51a693e3f2025e7e4046c7549ed7ebb6,65911296,1024.0,330.0,64,0,BioSemi ActiveTwo
ds005284,sub-012,data/ds005284/sub-012/eeg/sub-012_task-26ByBiosemi_eeg.bdf,BDF,a0d30f2d26d56dd755b99dc389647be9fb5c77a79a25253815956c7f74c18ec9,65911296,1024.0,330.0,64,0,BioSemi ActiveTwo
ds005284,sub-013,data/ds005284/sub-013/eeg/sub-013_task-26ByBiosemi_eeg.bdf,BDF,c9b037d59a52cf6f1a7bc52c833d5099799d6c3661fd0f4c2d75a8dd35c85a01,65511936,1024.0,328.0,64,0,BioSemi ActiveTwo
ds005284,sub-014,data/ds005284/sub-014/eeg/sub-014_task-26ByBiosemi_eeg.bdf,BDF,7f4af73ed1c6355ee3aef1d66158138b6c1566d521ad369fc053d65d12761a51,65911296,1024.0,330.0,64,0,BioSemi ActiveTwo
ds005284,sub-015,data/ds005284/sub-015/eeg/sub-015_task-26ByBiosemi_eeg.bdf,BDF,747c24485b9a5d17ab2cac150ef194c7728554831f017feee02bbb8f91b6368b,66110976,1024.0,331.0,64,0,BioSemi ActiveTwo
ds005284,sub-016,data/ds005284/sub-016/eeg/sub-016_task-26ByBiosemi_eeg.bdf,BDF,bfdb6418c0b180d38b0e38f9357c7fa3e5341317cabbd93752bc2ac1a09147a1,66510336,1024.0,333.0,64,0,BioSemi ActiveTwo
