feature,cohens_d,symmetric_auc,directional_auc,mann_whitney_p,abs_cohens_d
CZ_higuchi_fd,-1.358913924108593,0.8322934354802617,0.1677065645197383,6.202576943889997e-58,1.358913924108593
CZ_mfcc3_mean,1.353912013528396,0.8312601192591715,0.8312601192591715,1.383728299150926e-57,1.353912013528396
CZ_wavelet_d1_relative,-1.284744799129979,0.839427924548171,0.16057207545182905,2.2757447040797061e-60,1.284744799129979
CZ_wavelet_d2_relative,-1.23056301350456,0.8306151193249878,0.16938488067501217,2.2804815715188462e-57,1.23056301350456
CZ_dfa,1.1714925454352971,0.8030775711145335,0.8030775711145335,1.6991712105731923e-48,1.1714925454352971
CZ_rms,1.138049318744497,0.8124761415840672,0.8124761415840672,1.941326115047337e-51,1.138049318744497
CZ_zero_cross_rate,-1.1064261064986423,0.7828719609314325,0.21712803906856742,1.7940962578950637e-42,1.1064261064986423
CZ_ptp,1.0907173453176378,0.7936131843251852,0.7936131843251852,1.2676654967862303e-45,1.0907173453176378
CZ_hjorth_mobility,-1.0310337137965322,0.7686622174834472,0.2313377825165528,1.753542056889932e-38,1.0310337137965322
CZ_spectral_edge_95,-1.0307771486644914,0.7718872171543656,0.2281127828456344,2.269813909988788e-39,1.0307771486644914
CZ_arburg1,-1.0305538060287127,0.7833919098579684,0.21660809014203164,1.270972480853777e-42,1.0305538060287127
CZ_arburg_innovation_variance,-1.011324705935284,0.7753162474167095,0.22468375258329054,2.516854782786283e-40,1.011324705935284
CZ_low_gamma_relative,-0.9884688261183854,0.7732759415024549,0.22672405849754504,9.3482202115447e-40,0.9884688261183854
CZ_sample_entropy,-0.9719398983302575,0.7540378312206295,0.24596216877937055,1.3740677105401297e-34,0.9719398983302575
CZ_mfcc1_mean,-0.9366648854404284,0.748015637957588,0.25198436204241204,4.775345258018083e-33,0.9366648854404284
C3_rms,0.9195270630005717,0.7504837499506377,0.7504837499506377,1.1268360740774715e-33,0.9195270630005717
CZ_permutation_entropy,-0.8941924664553912,0.7426450262607116,0.2573549737392884,1.05317291618837e-31,0.8941924664553912
C3_mfcc3_mean,0.892126833044949,0.7443957403677817,0.7443957403677817,3.870200626703036e-32,0.892126833044949
CZ_aperiodic_slope,-0.889744733984647,0.7430859956034698,0.2569140043965302,8.18995588715347e-32,0.889744733984647
CZ_petrosian_fd,-0.887833733430995,0.7410061998973265,0.2589938001026735,2.6704197675018706e-31,0.887833733430995
CZ_std,0.8659797555132368,0.7448564546064843,0.7448564546064843,2.9703591549888227e-32,0.8659797555132368
CZ_mfcc5_mean,0.8619739446317538,0.7300214561202596,0.7300214561202596,1.1646323106049606e-28,0.8619739446317538
CZ_wavelet_d3_relative,-0.8541868717363204,0.7499374744961761,0.2500625255038239,1.553090011147823e-33,0.8541868717363204
CZ_wavelet_entropy,-0.8221145105936403,0.7255591096368256,0.27444089036317443,1.2699994861277608e-27,0.8221145105936403
C3_zero_cross_rate,-0.7864863013001043,0.7230580894838684,0.2769419105161316,4.748568797642664e-27,0.7864863013001043
CZ_hjorth_activity,0.7778149833726643,0.7290078847951137,0.7290078847951137,2.0119958902187096e-28,0.7778149833726643
C4_rms,0.7452118732220435,0.703609366978636,0.703609366978636,8.25418796760357e-23,0.7452118732220435
C4_mfcc3_mean,0.7430673159337632,0.7063802340428332,0.7063802340428332,2.166575483676089e-23,0.7430673159337632
C3_wavelet_d2_relative,-0.742027373176128,0.7429806894917663,0.2570193105082336,8.697238165494148e-32,0.742027373176128
CZ_hjorth_complexity,0.7358499378172707,0.704669009727652,0.704669009727652,4.9594547956759173e-23,0.7358499378172707
CZ_alpha_power,0.731487688031654,0.7216232937119088,0.7216232937119088,1.005507952891647e-26,0.731487688031654
CZ_mfcc2_mean,-0.7251614926111942,0.7007002856428279,0.299299714357172,3.298124086542164e-22,0.7251614926111942
C4_zero_cross_rate,-0.7226767957578254,0.7006739591149022,0.29932604088509784,3.3391501478657857e-22,0.7226767957578254
CZ_spectral_centroid,-0.7226590906180046,0.7010425305058643,0.2989574694941357,2.80499272350802e-22,0.7226590906180046
