feature_set,fold,held_out_subject,train_epochs,test_epochs,input_features,expanded_features_added,selected_features,accuracy,balanced_accuracy,auc,f1,sensitivity,specificity
baseline_135,1,sub-001,751,30,135,0,60,0.96666667,0.96428571,0.94642857,0.96296296,0.92857143,1.00000000
baseline_135,2,sub-002,749,32,135,0,60,0.75000000,0.75000000,0.88281250,0.66666667,0.50000000,1.00000000
baseline_135,3,sub-003,749,32,135,0,60,0.68750000,0.68750000,0.87109375,0.75000000,0.93750000,0.43750000
baseline_135,4,sub-004,750,31,135,0,60,0.80645161,0.81041667,0.96250000,0.82352941,0.93333333,0.68750000
baseline_135,5,sub-005,749,32,135,0,60,0.50000000,0.50000000,0.62109375,0.20000000,0.12500000,0.87500000
baseline_135,6,sub-006,758,23,135,0,60,0.91304348,0.93333333,0.95000000,0.88888889,1.00000000,0.86666667
baseline_135,7,sub-007,751,30,135,0,60,0.76666667,0.76339286,0.80803571,0.74074074,0.71428571,0.81250000
baseline_135,8,sub-008,758,23,135,0,60,0.82608696,0.87500000,0.98214286,0.77777778,1.00000000,0.75000000
baseline_135,9,sub-009,755,26,135,0,60,0.76923077,0.75625000,0.78125000,0.70000000,0.70000000,0.81250000
baseline_135,10,sub-010,756,25,135,0,60,0.76000000,0.76388889,0.79861111,0.70000000,0.77777778,0.75000000
baseline_135,11,sub-011,749,32,135,0,60,0.78125000,0.78125000,0.88281250,0.80000000,0.87500000,0.68750000
baseline_135,12,sub-012,753,28,135,0,60,0.82142857,0.81250000,0.89062500,0.78260870,0.75000000,0.87500000
baseline_135,13,sub-013,749,32,135,0,60,0.53125000,0.53125000,0.60156250,0.11764706,0.06250000,1.00000000
baseline_135,14,sub-014,750,31,135,0,60,0.48387097,0.50000000,0.49166667,0.65217391,1.00000000,0.00000000
baseline_135,15,sub-015,749,32,135,0,60,0.90625000,0.90625000,0.99218750,0.91428571,1.00000000,0.81250000
baseline_135,16,sub-016,749,32,135,0,60,0.62500000,0.62500000,0.64453125,0.40000000,0.25000000,1.00000000
baseline_135,17,sub-017,749,32,135,0,60,0.62500000,0.62500000,0.83984375,0.40000000,0.25000000,1.00000000
baseline_135,18,sub-018,750,31,135,0,60,0.74193548,0.74375000,0.89583333,0.75000000,0.80000000,0.68750000
baseline_135,19,sub-019,753,28,135,0,60,0.78571429,0.77083333,0.86979167,0.72727273,0.66666667,0.87500000
baseline_135,20,sub-020,749,32,135,0,60,0.53125000,0.53125000,0.92578125,0.11764706,0.06250000,1.00000000
baseline_135,21,sub-021,751,30,135,0,60,0.83333333,0.83482143,0.89732143,0.82758621,0.85714286,0.81250000
baseline_135,22,sub-022,749,32,135,0,60,0.75000000,0.75000000,0.85937500,0.69230769,0.56250000,0.93750000
baseline_135,23,sub-023,749,32,135,0,60,0.78125000,0.78125000,0.92968750,0.72000000,0.56250000,1.00000000
baseline_135,24,sub-024,749,32,135,0,60,0.53125000,0.53125000,0.78125000,0.21052632,0.12500000,0.93750000
baseline_135,25,sub-025,750,31,135,0,60,0.70967742,0.71875000,0.84166667,0.60869565,0.43750000,1.00000000
baseline_135,26,sub-026,751,30,135,0,60,0.70000000,0.69196429,0.68750000,0.64000000,0.57142857,0.81250000
wavelet_only,1,sub-001,751,30,18,18,18,0.80000000,0.80803571,0.90178571,0.81250000,0.92857143,0.68750000
wavelet_only,2,sub-002,749,32,18,18,18,0.59375000,0.59375000,0.67578125,0.31578947,0.18750000,1.00000000
wavelet_only,3,sub-003,749,32,18,18,18,0.65625000,0.65625000,0.68750000,0.68571429,0.75000000,0.56250000
wavelet_only,4,sub-004,750,31,18,18,18,0.87096774,0.87291667,0.97500000,0.87500000,0.93333333,0.81250000
wavelet_only,5,sub-005,749,32,18,18,18,0.50000000,0.50000000,0.69140625,0.11111111,0.06250000,0.93750000
wavelet_only,6,sub-006,758,23,18,18,18,0.78260870,0.80416667,0.87500000,0.73684211,0.87500000,0.73333333
