subject,loso_acc
sub-001,0.9333333333333333
sub-002,0.78125
sub-003,0.875
sub-004,0.9032258064516129
sub-005,0.71875
sub-006,0.9130434782608695
sub-007,0.7666666666666667
sub-008,0.9130434782608695
sub-009,0.8846153846153846
sub-010,0.8
sub-011,0.65625
sub-012,0.8214285714285714
sub-013,0.78125
sub-014,0.45161290322580644
sub-015,0.96875
sub-016,0.4375
sub-017,0.71875
sub-018,0.967741935483871
sub-019,0.8928571428571429
sub-020,0.6875
sub-021,0.8
sub-022,0.8125
sub-023,0.75
sub-024,0.75
sub-025,0.7741935483870968
sub-026,0.7666666666666667
