fold,held_out_subject,n_test_intervals,epochs_trained,best_validation_loss,accuracy,balanced_accuracy,macro_f1,mae_joules,rmse_joules,within_0.25_joules
1,ds005280__sub-001,28,28,1.6801517009735107,0.17857142857142858,0.19230769230769232,0.07407407407407407,0.26339063474110197,0.3136487209337931,0.5
2,ds005280__sub-002,25,6,1.9671348333358765,0.04,0.041666666666666664,0.03571428571428571,0.6444483852386474,0.6860249874363323,0.0
3,ds005280__sub-003,25,9,2.064160108566284,0.04,0.03571428571428571,0.029411764705882353,0.5182884502410888,0.5691767591058103,0.04
4,ds005280__sub-004,27,13,2.012887716293335,0.5185185185185185,0.5,0.34146341463414637,0.22710375432614927,0.2612379603348972,0.5555555555555556
5,ds005280__sub-005,27,30,1.7698863744735718,0.4074074074074074,0.4230769230769231,0.1929824561403509,0.2887509752202917,0.3542624820573263,0.5185185185185185
6,ds005280__sub-006,30,25,1.8177024126052856,0.5666666666666667,0.5666666666666667,0.2416666666666667,0.2874623378117879,0.367829420833551,0.5333333333333333
7,ds005280__sub-007,28,10,2.066988945007324,0.0,0.0,0.0,0.22809646810804093,0.266344342259648,0.6071428571428571
8,ds005280__sub-008,30,30,1.6780343055725098,0.06666666666666667,0.06666666666666667,0.028985507246376812,0.31610086758931477,0.3911936359668252,0.4666666666666667
9,ds005280__sub-009,27,17,1.921498417854309,0.3333333333333333,0.34065934065934067,0.21467391304347827,0.25201986454151293,0.3135093999528596,0.6296296296296297
10,ds005280__sub-010,26,27,1.8316490650177002,0.5769230769230769,0.5363636363636364,0.3686274509803922,0.2604869329012357,0.34233553347211887,0.5769230769230769
11,ds005280__sub-011,30,7,2.092362403869629,0.13333333333333333,0.13333333333333333,0.06153846153846154,0.5299402952194214,0.5873270887871086,0.06666666666666667
12,ds005280__sub-012,30,7,2.068181276321411,0.13333333333333333,0.13333333333333333,0.09523809523809523,0.5445368766784668,0.6026073623081148,0.03333333333333333
13,ds005280__sub-013,30,14,2.040762186050415,0.3,0.3,0.1323529411764706,0.24874467849731446,0.27243980407215523,0.5
14,ds005280__sub-014,28,8,2.0800013542175293,0.0,0.0,0.0,0.2555155839238848,0.2689030615669843,0.5
15,ds005280__sub-015,30,10,2.0403544902801514,0.0,0.0,0.0,0.23501809438069662,0.26469455892084365,0.5666666666666667
16,ds005280__sub-016,26,21,1.9202659130096436,0.15384615384615385,0.16666666666666666,0.07272727272727272,0.2388721887881939,0.3208293057370306,0.5384615384615384
17,ds005280__sub-017,28,17,1.9081945419311523,0.35714285714285715,0.38461538461538464,0.13513513513513514,0.3202661871910095,0.39644885662600915,0.39285714285714285
18,ds005280__sub-018,30,11,1.9975461959838867,0.26666666666666666,0.26666666666666666,0.09600925390399075,0.6055860042572021,0.6811678461766818,0.13333333333333333
19,ds005280__sub-019,26,20,1.900658369064331,0.0,0.0,0.0,0.40506845254164475,0.4806364504555414,0.38461538461538464
20,ds005280__sub-020,28,8,2.0526938438415527,0.07142857142857142,0.07692307692307693,0.05,0.23774384600775583,0.25509490538865065,0.5
21,ds005280__sub-021,30,6,2.0048441886901855,0.0,0.0,0.0,0.2875053485234578,0.3493488387107252,0.5
