dataset,cluster,count,median,mean,std,min,max
ds005280,0,1901,3.5,3.57154129405576,0.355979289764548,3.0,4.0
ds005280,1,1405,3.5,3.4523131672597867,0.3368457911887861,3.0,4.0
ds005280,2,1552,3.5,3.4697164948453607,0.3505330519938508,3.0,4.0
ds005280,3,1417,3.5,3.4862385321100917,0.35403410750510994,3.0,4.0
ds005289,0,153,3.5,3.593137254901961,0.3941203906840413,2.75,4.5
ds005289,1,48,3.25,3.3020833333333335,0.3533966389160531,2.75,4.5
ds005289,2,76,3.5,3.4934210526315788,0.4982865377312641,2.75,4.5
ds005289,3,95,3.5,3.518421052631579,0.41934933335091745,2.75,4.5
ds005473,0,661,3.75,3.5472768532526473,0.5401810840256939,1.0,4.5
ds005473,1,1471,2.0,2.0086675730795376,0.7167585711249729,1.0,4.0
ds005473,2,944,2.5,2.4981461864406778,0.8881267331836205,1.0,4.5
ds005473,3,617,2.5,2.496353322528363,0.8957912911488907,1.0,4.25
