dataset,cluster,count,median,mean,std,min,max
ds005280,0,1901,6.0,6.008416622830089,2.01466535474188,0.0,10.0
ds005280,1,1405,4.0,4.260498220640569,2.166610395594982,0.0,10.0
ds005280,2,1552,4.0,4.765463917525773,2.018072579187238,0.0,10.0
ds005280,3,1417,5.0,5.073394495412844,2.2621871716929034,0.0,10.0
ds005289,0,152,6.25,6.490263157894737,1.8432662297849047,1.99,9.99
ds005289,1,48,5.995,5.9589583333333325,1.7182948494703436,2.03,9.05
ds005289,2,75,6.04,6.182933333333333,1.6834855840522405,1.81,9.58
ds005289,3,95,6.0,6.307263157894736,1.5488317094034947,3.02,9.97
ds005473,0,661,7.5,7.314372163388805,1.9422158013105315,0.0,10.0
ds005473,1,1471,4.0,3.6424881033310674,2.0090195418203836,0.0,9.0
ds005473,2,944,4.5,4.690466101694915,2.3098650061585366,0.0,10.0
ds005473,3,617,4.5,4.644814900567261,2.4982339346082587,0.0,10.0
