dataset,subject,epoch,rating,laser_power,tsne_1,tsne_2,state,knn_predicted_state
ds005289,sub-001,0,4.89,4.25,-29.00985,25.739496,0,0
ds005289,sub-001,1,5.74,4.25,17.460732,-2.147315,3,3
ds005289,sub-001,2,5.44,4.25,0.62208927,-1.8314826,3,3
ds005289,sub-001,3,5.78,4.25,-5.329636,11.014935,2,2
ds005289,sub-001,4,4.87,4.25,14.659239,-18.487106,3,3
ds005289,sub-001,5,7.84,4.25,44.851032,-41.111244,3,3
ds005289,sub-001,6,7.34,4.25,-35.219,24.203773,0,0
ds005289,sub-001,7,4.58,4.25,-11.780739,-47.65779,1,1
ds005289,sub-001,8,5.85,4.25,26.150969,-18.666872,3,3
ds005289,sub-001,9,4.83,4.25,-18.148724,-12.114957,1,1
ds005289,sub-002,0,,3.0,-4.0753126,-37.197147,1,1
ds005289,sub-002,1,3.64,3.0,-0.90916085,-43.932735,3,3
ds005289,sub-002,2,5.88,3.0,7.754964,45.7359,2,2
ds005289,sub-002,3,7.39,3.0,14.533542,-17.857607,3,3
ds005289,sub-002,4,5.02,3.0,-46.77149,-26.166311,1,1
ds005289,sub-002,5,6.02,3.0,-45.107903,3.7726696,0,0
ds005289,sub-002,6,8.33,3.0,25.138836,-45.814445,3,3
ds005289,sub-002,7,7.03,3.0,5.3258266,-42.751938,3,3
ds005289,sub-002,8,7.46,3.0,8.919222,-35.129734,3,3
ds005289,sub-002,9,3.58,3.0,0.36442462,-14.247869,3,3
ds005289,sub-003,0,7.68,3.5,23.533936,2.0571542,3,3
ds005289,sub-003,1,7.97,3.5,9.4301195,50.27931,2,2
ds005289,sub-003,2,9.29,3.5,48.27539,-11.885445,4,4
ds005289,sub-003,3,2.08,3.5,51.18374,39.116386,4,4
ds005289,sub-003,4,4.08,3.5,59.061,-8.008695,4,4
ds005289,sub-003,5,7.26,3.5,35.52244,13.33797,4,4
ds005289,sub-003,6,5.24,3.5,42.582397,-8.772234,3,3
ds005289,sub-003,7,8.34,3.5,55.280735,6.879634,4,4
ds005289,sub-003,8,6.49,3.5,27.962263,5.722586,3,3
ds005289,sub-003,9,6.85,3.5,25.020872,0.89928234,3,3
ds005289,sub-004,0,9.89,3.5,71.56262,-7.693331,4,4
ds005289,sub-004,1,9.27,3.5,8.737153,56.322304,2,2
ds005289,sub-004,2,7.6,3.5,50.794823,10.919942,4,4
ds005289,sub-004,3,8.55,3.5,11.412369,44.77927,2,2
ds005289,sub-004,4,7.27,3.5,8.6879225,56.259094,2,2
ds005289,sub-004,5,9.24,3.5,47.93394,-7.2583137,4,4
ds005289,sub-004,6,8.21,3.5,19.74505,6.337927,3,3
ds005289,sub-004,7,9.3,3.5,11.368992,53.2845,2,2
ds005289,sub-004,8,7.85,3.5,8.690746,56.482586,2,2
ds005289,sub-004,9,9.15,3.5,2.9651775,54.473137,2,2
ds005289,sub-005,0,4.99,3.0,23.380064,30.109009,2,2
ds005289,sub-005,1,4.49,3.0,-7.2446394,17.461285,2,2
ds005289,sub-005,2,3.15,3.0,1.2572893,32.25016,2,2
ds005289,sub-005,3,5.02,3.0,27.11277,1.8014126,3,3
ds005289,sub-005,4,3.02,3.0,-7.6481247,31.771,2,2
ds005289,sub-005,5,5.06,3.0,-4.7035036,37.6807,2,2
ds005289,sub-005,6,6.0,3.0,24.382492,21.992582,2,2
ds005289,sub-005,7,3.08,3.0,-8.490329,-29.111538,1,1
ds005289,sub-005,8,5.25,3.0,25.295055,3.7184365,3,3
ds005289,sub-005,9,5.16,3.0,20.247873,4.834492,3,3
ds005289,sub-006,0,5.56,3.0,26.434746,-14.775682,3,3
ds005289,sub-006,1,8.58,3.0,47.310787,8.473243,4,4
ds005289,sub-006,2,5.33,3.0,-4.79535,2.7436702,2,2
ds005289,sub-006,3,4.42,3.0,11.72944,-6.087012,3,3
ds005289,sub-006,4,9.19,3.0,24.447222,0.47333473,3,3
ds005289,sub-006,5,5.57,3.0,-2.5187519,-6.271135,3,3
ds005289,sub-006,6,7.04,3.0,38.247704,-4.6607494,3,3
ds005289,sub-006,7,5.05,3.0,-0.91200763,10.65705,2,2
ds005289,sub-006,8,7.85,3.0,35.367073,-3.1265662,3,3
ds005289,sub-006,9,9.06,3.0,53.52568,-16.547974,4,4
ds005289,sub-007,0,5.66,3.75,27.707027,6.014913,3,3
ds005289,sub-007,1,6.7,3.75,4.650068,3.6282263,2,2
ds005289,sub-007,2,3.95,3.75,-0.4820908,11.302604,2,2
ds005289,sub-007,3,4.85,3.75,-15.761804,57.467686,2,2
ds005289,sub-007,4,5.8,3.75,-5.0407333,8.816834,2,2
ds005289,sub-007,5,6.04,3.75,1.9635527,2.2147124,2,2
ds005289,sub-007,6,7.07,3.75,-2.6048496,18.439062,2,2
ds005289,sub-007,7,5.95,3.75,20.485716,-7.7932034,3,3
ds005289,sub-008,0,9.04,3.75,9.302699,1.8534368,3,3
ds005289,sub-008,1,9.69,3.75,-5.0879965,51.117157,2,2
ds005289,sub-008,2,4.0,3.75,-45.314827,-23.86575,1,1
ds005289,sub-008,3,9.43,3.75,29.036299,16.056839,4,4
ds005289,sub-008,4,4.55,3.75,-53.503597,-42.680557,1,1
ds005289,sub-008,5,7.58,3.75,-32.84742,29.048887,0,0
ds005289,sub-008,6,9.44,3.75,34.1654,-27.226992,3,3
ds005289,sub-008,7,9.07,3.75,48.722157,11.021552,4,4
ds005289,sub-008,8,9.64,3.75,25.418564,2.8313696,3,3
ds005289,sub-008,9,9.58,3.75,-5.1667795,10.945497,2,2
ds005289,sub-009,0,6.0,3.75,10.8446,-17.846788,3,3
ds005289,sub-009,1,7.87,3.75,25.894224,5.0329633,3,3
ds005289,sub-009,2,6.92,3.75,0.18142112,-9.137322,3,3
ds005289,sub-009,3,1.81,3.75,17.823807,-8.312459,3,3
ds005289,sub-009,4,6.69,3.75,64.238815,14.696988,4,4
ds005289,sub-009,5,8.24,3.75,29.840239,6.5530596,4,4
ds005289,sub-009,6,5.03,3.75,30.673647,6.4005523,4,4
ds005289,sub-009,7,7.91,3.75,52.081856,25.715202,4,4
ds005289,sub-010,0,5.01,4.25,37.78987,22.52341,4,4
ds005289,sub-010,1,4.0,4.25,75.737595,15.093107,4,4
ds005289,sub-010,2,5.02,4.25,63.62815,13.024584,4,4
ds005289,sub-010,3,4.7,4.25,85.7529,-3.8912299,4,4
ds005289,sub-010,4,5.02,4.25,39.637447,45.911648,4,4
ds005289,sub-010,5,3.99,4.25,55.682713,-6.2624927,4,4
ds005289,sub-010,6,5.32,4.25,67.879684,2.7234771,4,4
ds005289,sub-010,7,4.72,4.25,60.795197,35.274963,4,4
ds005289,sub-010,8,4.18,4.25,69.82547,32.055477,4,4
ds005289,sub-010,9,4.52,4.25,47.332996,46.70491,4,4
ds005289,sub-011,0,5.32,3.25,-76.61748,6.1226487,0,0
ds005289,sub-011,1,4.11,3.25,-82.22961,-1.4502926,0,0
ds005289,sub-011,2,5.16,3.25,-74.643616,18.97119,0,0
